list_items,response,n_correct,proportion_correct,phonological_confusions,experiment_type,experiment_name
VPTDRZKNLBGM,VPTDRZG,7,0.583,0,Free Recall,Baseline
PQKNYDVTML,PQKNYD,6,0.6,0,Free Recall,Baseline
HKZRTYLQNBGM,HKRTYLB,7,0.583,0,Free Recall,Baseline
BTYMNRZVHGD,BTMLYND,6,0.545,0,Free Recall,Baseline
HBRQVDGTNPZ,HBQRDVZ,7,0.636,0,Free Recall,Baseline
BHMNQTRLVZY,BHMNQTY,7,0.636,0,Free Recall,Baseline
HLZPMNQTGVDB,HLZPMVD,7,0.583,0,Free Recall,Baseline
NDGRMPBKLV,GDRMPBV,7,0.7,0,Free Recall,Baseline
QMDPGRTZKH,QMDPRZ,6,0.6,0,Free Recall,Baseline
HKRBDMVPZTQ,HMRPDVRTQ,8,0.727,0,Free Recall,Baseline
NVRMHBPZTDY,HVMRDPVY,7,0.636,0,Free Recall,Baseline
TMNDHBKGQPL,TMRDPQ,5,0.455,0,Free Recall,Baseline
HGTDBYVRPNL,HBLVA,4,0.364,0,Free Recall,Baseline
VQMLNHPRKGT,VQLMNG,6,0.545,0,Free Recall,Baseline
TYKVRDHZBGM,TYKVRDQMH,8,0.727,0,Free Recall,Baseline
KLHMPTVRQZ,LHMPTQZ,7,0.7,0,Free Recall,Baseline
YDGLVZTPKBMQ,YDGLVZQ,7,0.583,0,Free Recall,Baseline
ZNGQHYTLVKMP,ZGKQT,5,0.417,0,Free Recall,Baseline
LRPDYGTHZMK,LRPDYGHZ,8,0.727,0,Free Recall,Baseline
GNTBRLHMZDPV,GNTBRLV,7,0.583,0,Free Recall,Baseline
RMZQPKBGNH,RMPQZ,5,0.5,0,Free Recall,Baseline
NHBVPGZDLYRQ,ZHBVKD,5,0.417,1,Free Recall,Baseline
HTVYLNDMRGZK,HTVNYRGL,8,0.667,0,Free Recall,Baseline
YBMQLGHVZN,YBRNQL,5,0.5,0,Free Recall,Baseline
PDMRKTVHLZ,PDMRHZL,7,0.7,0,Free Recall,Baseline
QBRNDGVHLZM,QBNRDBHL,7,0.636,0,Free Recall,Baseline
QMHZPNVDYLR,QZMLPVHR,8,0.727,0,Free Recall,Baseline
RMVTBQKZPDGL,LPDGQZR,7,0.583,0,Free Recall,Baseline
ZKLDRPGTNY,NYPDG,5,0.5,0,Free Recall,Baseline
PYHRVDGZNKM,NKMPDHR,7,0.636,0,Free Recall,Baseline
YPZTLDRBVGQ,YPZTLRBQ,8,0.727,0,Free Recall,Baseline
BQTDYMHZNPLV,PLVMNQT,7,0.583,0,Free Recall,Baseline
LNZRGHPMTB,LNGHTRD,6,0.6,1,Free Recall,Baseline
NZMLDHGPVBYT,LDHGPYT,7,0.583,0,Free Recall,Baseline
RVGBLDTPQK,RVGBLDT,7,0.7,0,Free Recall,Baseline
VHGMYKZNLRP,VHGMYKZ,7,0.636,0,Free Recall,Baseline
YQNKZBVLDGPT,PTYKLHZBV,8,0.667,0,Free Recall,Baseline
NGMVKYBZDP,NYMVKBTH,6,0.6,1,Free Recall,Baseline
DVZLBQMHYR,DVZKLMBR,7,0.7,0,Free Recall,Baseline
KPNGQBVYHTLM,LMYQKPN,7,0.583,0,Free Recall,Baseline
