list_items,response,n_correct,proportion_correct,phonological_confusions,experiment_type,experiment_name
LDZYGVBHNK,KBHL,4,0.4,0,Free Recall,Suppression
RKLQHMGYVPTD,YVPLTBR,6,0.5,1,Free Recall,Suppression
BDRZNVQMKT,KTBVL,4,0.4,0,Free Recall,Suppression
TGMVYHZNKPBL,HZNKVPL,7,0.583,0,Free Recall,Suppression
QTKVBPZDNYR,DNYR,4,0.364,0,Free Recall,Suppression
LMRHVNGKPDQ,DPQKLN,6,0.545,0,Free Recall,Suppression
LVZQYPNMGB,MNPBG,5,0.5,0,Free Recall,Suppression
YVPHGTBQZNM,ZNMPQB,6,0.545,0,Free Recall,Suppression
PYRBQTVGKMN,KMNBQPR,7,0.636,0,Free Recall,Suppression
MBZRTQGHNYD,MTBYDQRN,8,0.727,0,Free Recall,Suppression
NQLKBMTRDYGV,LMNTRDGY,8,0.667,0,Free Recall,Suppression
NVLHGYQDKZ,YQZKG,5,0.5,0,Free Recall,Suppression
QBVRHDMLGPK,DMPKQZ,5,0.455,0,Free Recall,Suppression
ZDBPHQRYNTV,HQTVRN,6,0.545,0,Free Recall,Suppression
KPQYNTMDHBGL,MDHBGLK,7,0.583,0,Free Recall,Suppression
QVZMKYNLTHD,MKLHQ,5,0.455,0,Free Recall,Suppression
RKGDNBLZYQ,YZMNLG,5,0.5,1,Free Recall,Suppression
VQTLDGYHRNMK,NMKZQRG,6,0.5,0,Free Recall,Suppression
PRVBZMLGHY,PRBMLRZ,6,0.6,0,Free Recall,Suppression
RGZBMYKVNPQH,KVNPQH,6,0.5,0,Free Recall,Suppression
GQBZYHTKRDM,GBYTR,5,0.455,0,Free Recall,Suppression
RGKVLNMDTHPY,RGKDT,5,0.417,0,Free Recall,Suppression
NHMGZDQPYVBL,NHMDP,5,0.417,0,Free Recall,Suppression
BDKYGPVTMRQL,BDKP,4,0.333,0,Free Recall,Suppression
PBMNDLTRYZQ,PBMNR,5,0.455,0,Free Recall,Suppression
BZHMYTQRGLVN,BHMYTN,6,0.5,0,Free Recall,Suppression
YLHGRTDNMBP,YLGNM,5,0.455,0,Free Recall,Suppression
QKZYVPRGLB,YVPRQ,5,0.5,0,Free Recall,Suppression
ZNDQLKRYBM,NDLY,4,0.4,0,Free Recall,Suppression
YRDKZQNBHPL,YNDRH,5,0.455,0,Free Recall,Suppression
DHQNBVRLZTM,DHNYL,4,0.364,0,Free Recall,Suppression
BTHVYKDRNQLZ,BTDRN,5,0.417,0,Free Recall,Suppression
LHZMPYBRQKD,LHNRD,4,0.364,1,Free Recall,Suppression
TPYMBKVNLZQ,TPYL,4,0.364,0,Free Recall,Suppression
KHMTPDQNGBR,KHQNR,5,0.455,0,Free Recall,Suppression
RDQKZBHMTNLY,RDQKT,5,0.417,0,Free Recall,Suppression
NVDBKLMHZYT,NVDLH,5,0.455,0,Free Recall,Suppression
RZTVLPQDKGH,RTVL,4,0.364,0,Free Recall,Suppression
BKZQHPTDGY,KHPTQ,5,0.5,0,Free Recall,Suppression
RGLHKPMVDNBY,RGHKM,5,0.417,0,Free Recall,Suppression
TDYZGLQRPH,TLYQ,4,0.4,0,Free Recall,Suppression
ZPKYMTLNRGV,TNMP,4,0.364,0,Free Recall,Suppression
LBQZKHRTPM,QNTP,3,0.3,1,Free Recall,Suppression
NMHPQBGRZV,QPTV,3,0.3,0,Free Recall,Suppression
HTLZMBQKYNDP,TDP,3,0.25,0,Free Recall,Suppression
ZTDMLQPKHB,ZTB,3,0.3,0,Free Recall,Suppression
GZRHPKBNMYL,BMPL,4,0.364,0,Free Recall,Suppression
HKQDYBRZLVPG,HKQPY,5,0.417,0,Free Recall,Suppression
QTYMDKNVPH,QTYH,4,0.4,0,Free Recall,Suppression
HGQKDNBVRPT,HGT,3,0.273,0,Free Recall,Suppression
RLGPBHYKMDT,RLGT,4,0.364,0,Free Recall,Suppression
BKZTLQVRYN,RLGB,3,0.3,1,Free Recall,Suppression
MHZTBYNVDL,MHTY,4,0.4,0,Free Recall,Suppression
TRKHLMYQBZVD,THRD,4,0.333,0,Free Recall,Suppression
DYVQPBZMRH,DYVRH,5,0.5,0,Free Recall,Suppression
DLGYMPVKRZQ,YMPV,4,0.364,0,Free Recall,Suppression
MTQHPNVRBKGL,YMGL,3,0.25,0,Free Recall,Suppression
DNBKZQMYHT,GMP,1,0.1,2,Free Recall,Suppression
NDKRBQVGZYL,YGZ,3,0.273,0,Free Recall,Suppression
MKGQPNBYLTH,YGZH,3,0.273,0,Free Recall,Suppression
