list_items,response,proportion_correct_in_position,per_position_binary,experiment_type,experiment_name
YBLDTGPRMQVS,YBLDTG????S,0.5,111111000000,Serial Recall,Baseline
LZTBYVRDQKMP,LZTBYV???,0.5,111111000000,Serial Recall,Baseline
RPGKTVLYQMSD,RPGKTVL???S,0.667,111111100010,Serial Recall,Baseline
DKYPVLGQMTRZ,DKPVGRZ,0.167,110000000000,Serial Recall,Baseline
KTSBRLZGMQPY,KTSBR????Y,0.417,111110000000,Serial Recall,Baseline
QGSLMDZYVBPK,KGSLMD,0.417,11111000000,Serial Recall,Baseline
LSMRDKBQGYPT,LSMRDB,0.417,111110000000,Serial Recall,Baseline
LMPTGDZBSQRV,LMPTGD,0.5,111111000000,Serial Recall,Baseline
LTBZPYGKSDQM,LZPBYG,0.083,100000000000,Serial Recall,Baseline
RSLZTKBGVPQY,RSLZ????Y,0.333,111100000000,Serial Recall,Baseline
LRMKVTSDQGPZ,LRKMVS???D,0.25,110010000000,Serial Recall,Baseline
MTDRVLYGQPSK,MTDRVLY,0.583,111111100000,Serial Recall,Baseline
GRKYLQSMPTDV,GRKYLQZ,0.5,111111000000,Serial Recall,Baseline
YPSQVMGTKZLB,YPSQVMG???,0.583,111111100000,Serial Recall,Baseline
GRKDLTSPMYZV,GRKDLTS????M,0.583,111111100000,Serial Recall,Baseline
PKVDRZBLMTQY,PKDVRZQY,0.333,110011000000,Serial Recall,Baseline
TLZPBDQSVGYR,TLZPDQY,0.333,111100000000,Serial Recall,Baseline
PGQDBSKLVMYZ,PDQGZ,0.167,101000000000,Serial Recall,Baseline
RMSYQTDZVKPL,RMSYTSVK??,0.333,111100000000,Serial Recall,Baseline
BVKDMQZPYSLT,BDVKMRZ,0.25,100010100000,Serial Recall,Baseline
DLKSRPQTVYBZ,DLKSRP??,0.5,111111000000,Serial Recall,Baseline
DGLPVMQRBSKT,DGLPVMQ??,0.583,111111100000,Serial Recall,Baseline
KYPRZVSDTBGQ,KYPVRZS??,0.333,111000100000,Serial Recall,Baseline
RLBMQDGKZPTY,RLBMQD??,0.5,111111000000,Serial Recall,Baseline
TGLSVBYRKPQD,TGLSVBY??,0.583,111111100000,Serial Recall,Baseline
GBSTYQLVRKDM,GBSTYQ??,0.5,111111000000,Serial Recall,Baseline
MPQRKTSBYGLV,MPQRKT??,0.5,111111000000,Serial Recall,Baseline
QZRVTSMPGYDB,QZRVSMT??,0.333,111100000000,Serial Recall,Baseline
MBPYLTZSVKQR,MBLYMTZ,0.417,110101100000,Serial Recall,Baseline
RZVSLMKTQGPB,RV?SML??,0.167,100100000000,Serial Recall,Baseline
TPDMLZSBGYVQ,TPDML??,0.417,111110000000,Serial Recall,Baseline
MZGKLDTRQYBP,MZGKL??,0.417,111110000000,Serial Recall,Baseline
LPRDMBZTKYSV,LPRDMB??,0.5,111111000000,Serial Recall,Baseline
ZSDBVGMRQYTL,ZSDBVG?,0.5,111111000000,Serial Recall,Baseline
ZTBLVGMRSYDQ,ZBLGV??,0.167,100010000000,Serial Recall,Baseline
VYZGMDTBPSKL,VYZGMDT??,0.583,111111100000,Serial Recall,Baseline
MYDZQSBRGLKT,MYDZQS??,0.5,111111000000,Serial Recall,Baseline
DZMVKPRTSYQG,DZMVKPR??,0.583,111111100000,Serial Recall,Baseline
LZSQPBKVTYRM,LZSQB??,0.333,111100000000,Serial Recall,Baseline
QDSMRGPZYVBL,QDSMRG??,0.5,111111000000,Serial Recall,Baseline
KMQVPBRYDGLT,KMQVP,0.417,111110000000,Serial Recall,Baseline
ZVSLBGQTRKPM,ZVSLB,0.417,111110000000,Serial Recall,Baseline
BPSDGRYQLKTV,BPSDG??????V,0.5,111110000001,Serial Recall,Baseline
QYGRDTKLSBZM,QYGRD???????,0.417,111110000000,Serial Recall,Baseline
RKMZGPBSTVLY,RKMZG??????Y,0.5,111110000001,Serial Recall,Baseline
BKZGTMQVYDPR,BKZGT,0.417,111110000000,Serial Recall,Baseline
DLRVYQMTZBGP,DLRVY??????P,0.5,111110000001,Serial Recall,Baseline
SPZYMLRVKGDT,SPZYM?????DT,0.583,111110000011,Serial Recall,Baseline
GVQZRYKMTSLP,GVQZR??????L,0.417,111110000000,Serial Recall,Baseline
ZGDPYQVTRBSL,ZGPDY?????SL,0.417,110010000011,Serial Recall,Baseline
RZPQYMGVSTKL,RZPQY?????KL,0.583,111110000011,Serial Recall,Baseline
MQBRSTLKPVDG,MQBRS,0.417,111110000000,Serial Recall,Baseline
QDMRZGBLYKVP,QDMRZ?????VP,0.583,111110000011,Serial Recall,Baseline
PLKRDGMBQSVZ,PLKRD????SVZ,0.667,111110000111,Serial Recall,Baseline
MTBGPDLSRZVQ,MTBGP?????VQ,0.583,111110000011,Serial Recall,Baseline
ZGDLMRTKVBYQ,ZGDLM?????YQ,0.583,111110000011,Serial Recall,Baseline
YMBRZDPTSQKL,YMBRZ?????KL,0.583,111110000011,Serial Recall,Baseline
GTQLYSKDPRZM,GTQLY?????RM,0.5,111110000001,Serial Recall,Baseline
ZKQLGTRYMPSB,ZKQLG?????SB,0.583,111110000011,Serial Recall,Baseline
ZTBMSKRYPGVQ,ZTBMS?????VQ,0.583,111110000011,Serial Recall,Baseline
