list_length,list_items,response,proportion_correct_in_position,per_position_binary,experiment_type,experiment_name
9,RKTPGZYSB,RTK???YSB,0.444,100000111,Serial Recall,Chunking
9,SRGLMYBZK,SRGLMY???,0.667,111111000,Serial Recall,Chunking
9,YSKPZBLVG,YSKPYGBZ?,0.444,111100000,Serial Recall,Chunking
9,QKLSDVBZG,QKL???BZG,0.667,111000111,Serial Recall,Chunking
9,QYZDVGBSK,?????????,0.0,0,Serial Recall,Chunking
9,VQDPMSLGR,???PMSLRG,0.444,111100,Serial Recall,Chunking
9,VGLPSRBYD,PSYVRGBYD,0.333,111,Serial Recall,Chunking
9,VQYTRSMGK,VY?TRSMGK,0.778,100111111,Serial Recall,Chunking
9,MSQKRBZLV,???KRQL??,0.222,110000,Serial Recall,Chunking
9,QZSVRTGPL,???VRTGPL,0.667,111111,Serial Recall,Chunking
9,ZDRPQGTYL,???PQGTYL,0.667,111111,Serial Recall,Chunking
9,ZYLDQKMTR,ZYLDQK???,0.667,111111000,Serial Recall,Chunking
9,GMDVYQKTZ,?????????,0.0,0,Serial Recall,Chunking
9,KBRQPDYZT,???KBTQRT,0.111,1,Serial Recall,Chunking
9,TQYKDVLGM,TQY???LGM,0.667,111000111,Serial Recall,Chunking
9,RGPMLYVQK,???MLYVQK,0.667,111111,Serial Recall,Chunking
9,BSPMYVGQZ,BSPMYV???,0.667,111111000,Serial Recall,Chunking
9,PRMSDYLVG,PRGSYDLVG,0.667,110100111,Serial Recall,Chunking
9,TVSZPRLDK,TVSLGVT??,0.333,111000000,Serial Recall,Chunking
9,RBZMPKTDL,???MPKTDL,0.667,111111,Serial Recall,Chunking
9,TZQYBVLGR,??????LQR,0.222,101,Serial Recall,Chunking
9,KMZVSQYGR,KMZ???VQR,0.444,111000001,Serial Recall,Chunking
9,VKMRTPQBZ,VKMRTP???,0.667,111111000,Serial Recall,Chunking
9,MZGBQLSPR,??????SPR,0.333,111,Serial Recall,Chunking
9,QGKBDYRSM,???BDYRSM,0.667,111111,Serial Recall,Chunking
9,RKTPBMLGZ,RKTPBM???,0.667,111111000,Serial Recall,Chunking
9,DLYRQVTSZ,???RKVTSZ,0.556,101111,Serial Recall,Chunking
9,GMRQBVPDK,GMR??????,0.333,111000000,Serial Recall,Chunking
9,GDVZLMYRB,???ZLMYRB,0.667,111111,Serial Recall,Chunking
9,KSDMBGZVY,KSDMBV???,0.556,111110000,Serial Recall,Chunking
9,ZVTGSPQDK,???ZSTQDK,0.444,10111,Serial Recall,Chunking
9,TBDRLZKVP,TBDRLZ???,0.667,111111000,Serial Recall,Chunking
9,RTLQGPVYS,RTP???YLS,0.333,110000001,Serial Recall,Chunking
9,PDQLBTKRM,PDQLBTQRM,0.889,111111011,Serial Recall,Chunking
9,RVKYLZGBT,???YLQGBT,0.556,110111,Serial Recall,Chunking
9,GDVSRKQPZ,???SRKQPZ,0.667,111111,Serial Recall,Chunking
9,BTZMDVYGR,BTZ??????,0.333,111000000,Serial Recall,Chunking
9,MVKPBYDLZ,MVK???DLZ,0.667,111000111,Serial Recall,Chunking
9,RQKSBDVPG,???SBDVPK,0.556,111110,Serial Recall,Chunking
9,ZBQSGVYRL,??????YRL,0.333,111,Serial Recall,Chunking
9,LPMVBQYST,LPMVBQ,0.667,111111000,Serial Recall,Chunking
9,BGTMKQSYP,BGTSYP,0.333,111000000,Serial Recall,Chunking
9,TSBQLDYMP,TSBQLDSYP,0.778,111111001,Serial Recall,Chunking
9,BPYQZMLTG,BPYQZMT?G,0.778,111111001,Serial Recall,Chunking
9,LKPGRMYTB,LKBGRM,0.556,110111000,Serial Recall,Chunking
9,DBSPVKZMG,BPSGMKZMG,0.556,1001111,Serial Recall,Chunking
9,QVTPRSKLM,QVZPRS?VT,0.556,110111000,Serial Recall,Chunking
9,RMSQPZBVY,RMSQPZ,0.667,111111000,Serial Recall,Chunking
9,PGSMVQZDK,PRSDQTZ??,0.333,101000100,Serial Recall,Chunking
9,SVPGRZBLM,PLSSVZBLM,0.444,1111,Serial Recall,Chunking
9,SRVDKGMTZ,SRVDKGS??,0.667,111111000,Serial Recall,Chunking
9,PSTBLMDQY,PSTBLM???,0.667,111111000,Serial Recall,Chunking
9,VPLSQYRTK,VPLSQY???,0.667,111111000,Serial Recall,Chunking
9,ZKSRPVYDM,ZKSRPVY??,0.778,111111100,Serial Recall,Chunking
9,DBYVGKZRT,DBYVGKY??,0.667,111111000,Serial Recall,Chunking
9,QDLTSBRZP,YQLTSB???,0.444,1111000,Serial Recall,Chunking
9,DSYQVKLTG,DSYKVKDSV,0.556,111011000,Serial Recall,Chunking
9,LKTGRDBVP,LKTDRG???,0.444,111010000,Serial Recall,Chunking
9,RDYBSKVMP,RDYBSK???,0.667,111111000,Serial Recall,Chunking
9,LVDBYMZGS,DLYBMKZ??,0.222,100100,Serial Recall,Chunking
